X,Y,AREANAME,CLASS,ST
-85.9155634699994,34.6076390623845,Dutton,town,AL
-87.0552787651425,31.0907584348268,East Brewton,city,AL
-86.0347035556175,32.63689441694,Eclectic,town,AL
-85.5097948613118,33.7067830328019,Edwardsville,town,AL
-86.0751228048603,31.4173173302145,Elba,city,AL
-87.6007737910053,30.413639903523,Elberta,town,AL
-87.6197897563482,33.9220646913859,Eldridge,town,AL
-86.9758821148129,34.9285143660184,Elkmont,town,AL
-88.3152791386348,32.7286700685345,Emelle,town,AL
-85.8463923331711,31.3299794892446,Enterprise,city,AL
-88.1259867899932,32.6918525673324,Epes,town,AL
-88.216293448418,33.4143117156132,Ethelsville,town,AL
-85.150285206403,31.9094381149963,Eufaula,city,AL
-85.8454159907401,31.0387661701678,Eunola,town,AL
-87.8914946485915,32.840734180139,Eutaw,city,AL
-86.7558540346197,34.330510571504,Eva,town,AL
-86.9549962472489,31.4375579016712,Evergreen,city,AL
-87.342403169349,31.4263325459012,Excel,town,AL
-86.9177091991767,33.4731073604602,Fairfield,city,AL
-87.8840442717458,30.5146623305929,Fairhope,city,AL
-86.6874373050452,34.246886420817,Fairview,town,AL
-86.9097250292929,34.3770310661668,Falkville,town,AL
-87.5932518690987,32.4592212843542,Faunsdale,town,AL
-87.831380054206,33.6941183051298,Fayette,city,AL
-85.3512083283554,33.0171892042925,Five Points,town,AL
-86.9727952286068,34.5155936916993,Flint City,town,AL
-87.2545378913924,31.0165692896284,Flomaton,town,AL
-86.3084001306646,31.0212923122495,Florala,city,AL
-87.6650851722086,34.8279371857401,Florence,city,AL
-87.6842192826548,30.4058599413837,Foley,city,AL
-86.9028672578866,33.579355331556,Forestdale,CDP,AL
-87.867236816553,32.6477025787441,Forkland,town,AL
-86.5762104019565,31.9860024924897,Fort Deposit,town,AL
-85.7906846168671,33.718927320514,Fort McClellan,CDP,AL
-85.6944064538899,34.4538795631617,Fort Payne,city,AL
-85.7150788379777,31.3435721682965,Fort Rucker,CDP,AL
-85.8027458419848,32.4553880490667,Franklin,town,AL
-87.4035492114332,31.4344911961945,Frisco City,town,AL
-85.4318152643661,33.7303599132378,Fruithurst,city,AL
-87.7410644756812,31.7937118301775,Fulton,town,AL
-86.8000814378767,33.6173898055517,Fultondale,city,AL
-85.9063280184025,34.4510681908208,Fyffe,town,AL
-86.0143770552881,34.0100974062417,Gadsden,city,AL
-88.1596100389262,32.815404859204,Gainesville,town,AL
-86.4845986529293,31.4088911199705,Gantt,town,AL
-86.2993400922717,33.1483127000206,Gantts Quarry,town,AL
-86.7500741470161,34.0148811737968,Garden City,town,AL
-86.8005531949484,33.665324116951,Gardendale,city,AL
-85.5582443084923,34.2679947076897,Gaylesville,town,AL
-88.313400454837,32.8738229991236,Geiger,town,AL
-85.8767146381577,31.0368182206385,Geneva,city,AL
-86.7424031049569,31.6365954493126,Georgiana,town,AL
-86.0029576904183,34.3609386382682,Geraldine,town,AL
-88.3187998557328,31.8758311813244,Gilbertown,town,AL
-87.7441381908582,33.8849318589982,Glen Allen,town,AL
-85.9311946494555,33.9463316911262,Glencoe,city,AL
-86.1723885484876,31.6662357105299,Glenwood,town,AL
-85.7843914835155,33.0836170034178,Goldville,town,AL
-86.8645682861421,34.1102325702029,Good Hope,town,AL
-86.0514749462357,33.0605575351583,Goodwater,city,AL
-87.9037294720887,33.3214618073627,Gordo,city,AL
-85.0942797551087,31.1458216296444,Gordon,town,AL
-86.1258611121134,31.7197153914183,Goshen,town,AL
-88.3443011941843,30.4721414318426,Grand Bay,CDP,AL
-86.2522529222702,34.5172993770588,Grant,town,AL
-86.9691945370186,33.6265054010729,Graysville,city,AL
-87.5940682685658,32.700748926741,Greensboro,city,AL
-86.6266731215939,31.829871764219,Greenville,city,AL
-85.4510423770357,31.3022700979401,Grimes,town,AL
-87.7774274704435,31.7039501383059,Grove Hill,town,AL
-87.9105760864057,33.9661937478398,Guin,town,AL
-87.7014461016695,30.2702381017311,Gulf Shores,city,AL
-86.2703900516275,34.3568484967148,Guntersville,city,AL
-86.3730437223695,34.703234013405,Gurley,town,AL
-87.8716887855647,33.958337747318,Gu-Win,town,AL
-87.833728302834,34.2742789218693,Hackleburg,town,AL
-85.1386044078663,31.4110309839855,Haleburg,town,AL
-87.6182255930766,34.2388908221505,Haleyville,city,AL
-87.9827965196749,34.140415275428,Hamilton,city,AL
-85.6383051820487,34.5694144003554,Hammondville,town,AL
-86.7634668840546,34.065009829058,Hanceville,city,AL
-86.4326709483202,33.3419097125855,Harpersville,town,AL
-85.6912764053801,31.1052925578729,Hartford,city,AL
-86.9398215274636,34.4370110860061,Hartselle,city,AL
-86.7498929874607,34.8557074615765,Harvest,CDP,AL
-86.7543531817365,33.8954281952353,Hayden,town,AL
-86.5788104480559,32.1826156532573,Hayneville,town,AL
-86.5672067538237,34.9237121508204,Hazel Green,CDP,AL
-85.3431867331705,31.352104836084,Headland,city,AL
-86.4668366842314,31.3552698099,Heath,town,AL
-85.5866903370886,33.6463910164433,Heflin,city,AL
-86.8524124736916,33.2898491241482,Helena,city,AL
-85.7374174063249,34.6340068276456,Henagar,town,AL
-86.4237989198671,33.8893325780394,Highland Lake,town,AL
-87.1846003973923,34.6368123620855,Hillsboro,town,AL
-85.8516922725056,33.6171375029057,Hobson City,town,AL
-87.9265664007748,34.3274850593741,Hodges,town,AL
-85.8629383287062,33.9897491197795,Hokes Bluff,city,AL
-86.6170040968798,34.1746576892202,Holly Pond,town,AL
-85.9656894578729,34.7169604314455,Hollywood,town,AL
-87.4809533916869,33.2296677519125,Holt,CDP,AL
-86.8069885549007,33.464906798649,Homewood,city,AL
-86.8190262697316,33.3754420133796,Hoover,city,AL
-86.9975798083877,33.4377090708048,Hueytown,city,AL
-85.2406158991824,32.8432474868047,Huguley,CDP,AL
-86.6277170447282,34.7071390805654,Huntsville,city,AL
-85.4143146684255,32.2400899973336,Hurtsboro,town,AL
-85.6669061285083,34.700757823501,Ider,town,AL
-86.7229312533466,33.4042475637306,Inverness,CDP,AL
-86.6762902557865,33.5324215407174,Irondale,city,AL
-87.8930115018922,31.5327025784279,Jackson,city,AL
-85.8169579541302,32.8842682872269,Jacksons' Gap,town,AL
-85.7607386215423,33.8107513849867,Jacksonville,city,AL
-87.2700727260074,33.8521491640808,Jasper,city,AL
-86.7440534841835,32.9651207930863,Jemison,town,AL
-87.5533568138522,33.9018849640193,Kansas,town,AL
-87.9855290725635,33.5815341859538,Kennedy,town,AL
-87.5293742032591,34.8615868471599,Killen,town,AL
-86.8047959677793,33.7683148012495,Kimberly,town,AL
-85.335869271438,31.2975831842782,Kinsey,town,AL
-86.1698878026645,31.2195970757048,Kinston,town,AL
-85.0867401027884,32.4625212145772,Ladonia,CDP,AL
-85.4007941860711,32.8996682813382,Lafayette,city,AL
-86.6804904616656,33.4300386068453,Lake Purdy,CDP,AL
-85.9732442964416,34.3922988178525,Lakeview,town,AL
-85.2050589413602,32.8663330105031,Lanett,city,AL
-86.0923403216166,34.5342738512588,Langston,town,AL
-86.5627298068801,33.5460801924162,Leeds,city,AL
-85.7690677450201,34.1790715116905,Leesburg,town,AL
-87.5306992749004,34.699642699287,Leighton,town,AL
-87.1479093888511,34.9843046130211,Lester,town,AL
-85.7666536583476,31.3065287743752,Level Plains,town,AL
-87.3728925206429,34.9661155059467,Lexington,town,AL
-86.4599626746052,31.2438444412376,Libertyville,town,AL
-86.1393643794675,33.5981136324276,Lincoln,city,AL
-87.7927167435115,32.3011535525167,Linden,city,AL
-85.7525766831981,33.3125349234758,Lineville,town,AL
-86.9254140533581,33.426208947515,Lipscomb,city,AL
-88.2880973973423,32.1694502980087,Lisman,town,AL
-87.6740680503248,34.5950975689007,Littleville,town,AL
-88.1871693690878,32.5989455192466,Livingston,city,AL
-85.5968901474638,32.6048401203999,Loachapoka,town,AL
-86.3501899993771,31.0129107069513,Lockhart,town,AL
-86.6216728368496,33.9027492887697,Locust Fork,town,AL
-85.5579838560755,31.7812510670797,Louisville,town,AL
-86.6102339150784,32.2768768721571,Lowndesboro,town,AL
-87.7563689742996,30.6273207876564,Loxley,town,AL
-86.2610479455147,31.7080108391423,Luverne,city,AL
-87.5467126427732,34.0438730257874,Lynn,town,AL
-88.027883303772,31.2649827395625,McIntosh,town,AL
-86.7165021148808,31.543915710556,McKenzie,town,AL
-88.1761520223012,33.1472285738956,McMullen,town,AL
-86.7496775447194,34.7029951758734,Madison,city,AL
-85.3972150165657,31.0359505740168,Madrid,town,AL
-85.5193737736297,31.1360493121636,Malvern,town,AL
-86.8783834274937,32.7858435960895,Maplesville,town,AL
-86.4746438111467,33.687803218379,Margaret,town,AL
-87.3175967706883,32.6316844425788,Marion,city,AL
-86.9957120066194,33.5512345353313,Maytown,town,AL
-86.6967876501197,33.4020366259536,Meadowbrook,CDP,AL
-88.3013482438249,33.1384566320762,Memphis,town,AL
-85.5826664325628,34.5683930463588,Mentone,town,AL
-86.5709283492731,34.873848930382,Meridianville,CDP,AL
-86.9228001872147,33.4542080163618,Midfield,city,AL
-85.4933169480587,31.3164474088824,Midland City,town,AL
-85.5202303755786,32.0744494283246,Midway,town,AL
-86.263982384329,33.1941584407318,Mignon,CDP,AL
-86.3676932540978,32.4947349418842,Millbrook,city,AL
-88.0812209452747,33.5595815601326,Millport,town,AL
-88.3166845067947,31.626025935921,Millry,town,AL
-86.9476054791929,33.5254064148154,Minor,CDP,AL
-88.0889588013488,30.6776403310393,Mobile,city,AL
-87.3277983733744,31.5170474279896,Monroeville,city,AL
-86.8512127816749,33.109369745939,Montevallo,city,AL
-86.2842552938986,32.3545389097989,Montgomery,city,AL
-86.4946116363742,33.597037087483,Moody,town,AL
-86.5257466458849,34.851977469539,Moores Mill,CDP,AL
-86.879990078897,34.626923741697,Mooresville,town,AL
-86.8053336212716,33.7498349524039,Morris,town,AL
-86.6745671761083,32.1762934440093,Mosses,town,AL
-87.281158780325,34.4839940307071,Moulton,city,AL
-87.6306675106048,32.9960062044463,Moundville,town,AL
-86.131183592513,34.1478053221298,Mountainboro,town,AL
-86.7404651442265,33.4869725656725,Mountain Brook,city,AL
-88.0117461539389,31.0913522526104,Mount Vernon,town,AL
-86.9753434582818,33.5466934043031,Mulga,town,AL
-87.6420676564104,34.7472058881319,Muscle Shoals,city,AL
-87.9471418079147,32.2472546674817,Myrtlewood,town,AL
-85.4552405615047,31.3152877577045,Napier Field,town,AL
-87.4878143922647,33.9885718856815,Nauvoo,town,AL
-86.6362563292887,33.9691248227596,Nectar,town,AL
-88.338795941162,31.9863384429039,Needham,town,AL
-87.5359758218258,32.5913838920991,Newbern,town,AL
-85.9243394694929,31.3811384468669,New Brockton,town,AL
-86.4158827467229,34.5392298673555,New Hope,town,AL
-86.4251068259392,34.9095532879696,New Market,CDP,AL
-85.7749719572635,33.035346342787,New Site,town,AL
-85.5885134910934,31.3392975918715,Newton,town,AL
-85.3364341469132,31.4218412468988,Newville,town,AL
-87.3083854636404,34.6772762976481,North Courtland,town,AL
-87.1015355282,33.3682240521619,North Johns,town,AL
-87.592156624001,33.2442287265368,Northport,city,AL
-85.6724027318092,32.5576893330628,Notasulga,town,AL
-86.3028303856734,33.1862936640577,Oak Grove,town,AL
-87.0881142282125,31.9222884730512,Oak Hill,town,AL
-87.3884745542,33.7130918939075,Oakman,town,AL
-86.3983515343846,33.6861223051758,Odenville,town,AL
-86.0186908067879,33.784582121759,Ohatchee,town,AL
-86.4705811321427,33.9512630580372,Oneonta,city,AL
-86.2790415463529,31.2244986472581,Onycha,town,AL
-85.3787512082181,32.6543335360762,Opelika,city,AL
-86.2559481985263,31.2915672968527,Opp,city,AL
-87.5909768295349,30.2846436900814,Orange Beach,town,AL
-87.2454016525505,32.3084593422393,Orrville,town,AL
-86.4601509395357,34.5821075079996,Owens Crossroads,town,AL
-85.8258004022138,33.5971352908609,Oxford,city,AL
-85.6486922964235,31.4392961350348,Ozark,city,AL
-86.3287625504611,34.6606643683138,Paint Rock,town,AL
-87.2807108793334,33.7339414964238,Parrish,town,AL
-86.7940392532425,33.3033924312004,Pelham,city,AL
-86.2724142249299,33.5602724979342,Pell City,city,AL
-88.0523802370262,32.1969427394439,Pennington,town,AL
-86.207230389087,31.8492173523829,Petrey,town,AL
-85.0145424271239,32.4656518584526,Phenix City,city,AL
-87.7058391219053,34.3521246026849,Phil Campbell,town,AL
-88.2656075264269,33.2267687644828,Pickensville,town,AL
-85.615165309875,33.927482949207,Piedmont,city,AL
-85.5441811390666,31.3207601367538,Pinckard,town,AL
-86.9876650602365,31.8738789559732,Pine Apple,town,AL
-87.5825184393769,31.9857856886669,Pine Hill,town,AL
-85.7796359299868,34.444478140986,Pine Ridge,town,AL
-86.6586237364131,33.6767980423564,Pinson-Clay-Chalkville,CDP,AL
-85.8477335454352,34.6822354682242,Pisgah,town,AL
-86.9759326799621,33.4892752989194,Pleasant Grove,city,AL
-87.9043836788244,30.4898290169169,Point Clear,CDP,AL
-87.1724012773965,31.02271198934,Pollard,town,AL
-85.8950757081892,34.5308573216066,Powell,town,AL
-86.446665047478,32.4618357026439,Prattville,city,AL
-86.8855875276953,34.524312183083,Priceville,town,AL
-88.1306747499327,30.7732877075283,Prichard,city,AL
-87.7721133703619,32.3445931575545,Providence,town,AL
-86.1362760452749,33.748164640209,Ragland,town,AL
-86.0873475863923,33.929848048966,Rainbow City,city,AL
-85.8449045734429,34.4988627582497,Rainsville,city,AL
-85.340105558327,33.5249846692876,Ranburne,town,AL
-88.1363772322171,34.4362240366711,Red Bay,city,AL
-86.6081626850698,31.4043458296816,Red Level,town,AL
-86.6540309972362,34.6841662171331,Redstone Arsenal,CDP,AL
-86.0323408279938,34.0725293834143,Reece City,town,AL
-88.0167200813431,33.3796786907639,Reform,city,AL
-87.2397416271105,31.408972222779,Repton,town,AL
-86.1032325924685,34.0571106206151,Ridgeville,town,AL
-86.541855600254,31.3505320348872,River Falls,town,AL
-86.2076765309525,33.6113842803605,Riverside,town,AL
-87.0566881698984,31.0586416128325,Riverview,town,AL
-85.3692934707277,33.1454553087428,Roanoke,city,AL
-87.7077909090571,30.55233270432,Robertsdale,city,AL
-86.2171982639786,32.8877117964329,Rockford,town,AL
-87.284533218254,34.8263278622283,Rogersville,town,AL
-86.5086758641294,33.9846378506299,Rosa,town,AL
-87.7291961127821,34.5060038090278,Russellville,city,AL
-86.3016490731952,31.729188164981,Rutledge,town,AL
-87.623853933741,34.8657361742086,St. Florian,town,AL
-85.8537261302149,33.7113918953723,Saks,CDP,AL
-86.0465446967363,31.1123861382812,Samson,city,AL
-85.7705929475612,34.2322201605602,Sand Rock,town,AL
-86.4016513861122,31.2977259444221,Sanford,town,AL
-88.0989278395514,30.8202793799222,Saraland,city,AL
-86.1135132582638,34.176811871978,Sardis City,town,AL
-88.0610987059323,30.8542853552865,Satsuma,city,AL
-86.0473555878926,34.6494311654349,Scottsboro,city,AL
-85.9838002417175,34.5810857586835,Section,town,AL
-87.0329420171012,32.416220446284,Selma,city,AL
-87.0066619363041,32.3784943017788,Selmont-West Selmont,CDP,AL
-87.7012908274401,34.7553388792102,Sheffield,city,AL
-85.8773112635569,34.4655557443934,Shiloh,town,AL
-85.9365651281128,32.400892955132,Shorter,town,AL
-88.3209230722119,31.7693658787925,Silas,town,AL
-87.7490121080824,30.54536773291,Silverhill,town,AL
-87.0830543152854,33.8221729529439,Sipsey,town,AL
-86.1234945743335,34.8029461404329,Skyline,town,AL
-85.5942685747353,31.1104317936382,Slocomb,city,AL
-85.0871507716231,32.539933439926,Smiths,CDP,AL
-86.8244656316496,33.8799661806336,Smoke Rise,CDP,AL
-86.391512008073,34.1159702382963,Snead,town,AL
-86.8013729752163,34.4747995259361,Somerville,town,AL
-86.0219576252653,33.903865260179,Southside,city,AL
-86.8625946232611,34.2362381885463,South Vinemont,town,AL
-87.8845827950293,30.6754324824914,Spanish Fort,CDP,AL
-86.4751315620413,33.7737226885819,Springville,town,AL
-86.1972356354024,33.9340979711474,Steele,town,AL
-85.8330733256195,34.8706901771822,Stevenson,city,AL
-88.1319209454732,33.894807193403,Sulligent,city,AL
-87.0481660667174,33.7531809987445,Sumiton,city,AL
-87.7003481746989,30.4834815023673,Summerdale,town,AL
-86.429724349913,34.0741557724089,Susan Moore,town,AL
-87.8673383280535,32.1018383335543,Sweet Water,town,AL
-86.2612922193733,33.1760739228879,Sylacauga,city,AL
-85.8075413359819,34.5598755285967,Sylvania,town,AL
-87.0305560834095,33.5130033698628,Sylvan Springs,town,AL
-86.0979722354144,33.4321564284584,Talladega,city,AL
-86.4445217894331,33.1176407473007,Talladega Springs,town,AL
-85.8913979017636,32.5352949845115,Tallassee,city,AL
-86.7678783157494,33.5938038340954,Tarrant,city,AL
-85.4675136878664,31.1646438208239,Taylor,town,AL
-88.1766487976424,30.545733183436,Theodore,CDP,AL
-87.6236147407397,32.2682232237391,Thomaston,town,AL
-87.7418985855437,31.9125416568885,Thomasville,city,AL
-86.714117475078,32.9151220514565,Thorsby,town,AL
-88.191342567802,30.5857100760212,Tillmans Corner,CDP,AL
-87.4083381096418,34.6727553269631,Town Creek,town,AL
-88.3080702104847,31.9102809390312,Toxey,town,AL
-86.7464826144263,33.8237476817694,Trafford,town,AL
-86.7442694835003,34.5946650386364,Triana,town,AL
-87.0898377201539,34.5986892274288,Trinity,town,AL
-85.9681138596899,31.8042747901922,Troy,city,AL
-86.593199520405,33.6360315487908,Trussville,city,AL
-87.5409850977892,33.2378177510083,Tuscaloosa,city,AL
-87.7056821131056,34.7287565061524,Tuscumbia,city,AL
-85.7110964474441,32.4378871291665,Tuskegee,city,AL
-87.6960381394036,34.8770552569239,Underwood-Petersville,CDP,AL
-87.9055157359605,32.9935501834829,Union,town,AL
-86.446049013404,34.4000882167596,Union Grove,town,AL
-85.7136093916342,32.1389604837855,Union Springs,city,AL
-87.5084608491539,32.4471650723598,Uniontown,city,AL
-85.1729565426382,32.8091668410194,Valley,city,AL
-85.62578452208,34.5508877258068,Valley Head,town,AL
-87.2279069395176,33.1710440669252,Vance,town,AL
-88.113783776873,33.7584396841569,Vernon,city,AL
-86.7875479085714,33.4336747652663,Vestavia Hills,city,AL
-88.0565844932031,34.3743654506611,Vina,town,AL
-86.4099196825161,33.3857192824303,Vincent,town,AL
-87.3175223980156,31.823436517142,Vredenburgh,town,AL
-85.5685483860657,33.1234659727255,Wadley,town,AL
-86.0353601969979,33.3909808048799,Waldo,town,AL
-86.2872668365656,34.0646795824197,Walnut Grove,town,AL
-86.8081979398641,33.8140144895218,Warrior,city,AL
-88.0642103586169,34.9167959285419,Waterloo,town,AL
-85.5761023586944,32.7362641819813,Waverly,town,AL
-85.8085413919689,33.755701257312,Weaver,city,AL
-85.2855775982276,31.2567975767299,Webb,town,AL
-85.4864848972469,33.3086138077029,Wedowee,town,AL
-87.1258194548544,33.1182281606076,West Blocton,town,AL
-85.8711850489863,33.6482594622202,West End-Cobb Town,CDP,AL
-87.0679288174696,33.6488423816067,West Jefferson,town,AL
-88.0308864541722,34.1622904597482,Weston,town,AL
-86.9482116310962,34.2381951221774,West Point,town,AL
-86.201728990307,32.5443257081554,Wetumpka,city,AL
-86.7145171463959,32.3009219183843,White Hall,town,AL
-88.3592021880739,30.8258703053102,Wilmer,town,AL
-86.4789864029281,33.236149217244,Wilsonville,town,AL
-86.8810464493979,33.0822716271673,Wilton,town,AL
-87.7961079027678,33.9299570252624,Winfield,city,AL
-85.3992208114557,33.3741974660906,Woodland,town,AL
-86.2821503329691,34.6253356856656,Woodville,town,AL
-87.4821756117027,31.9599223069335,Yellow Bluff,town,AL
-88.2961554331528,32.4960998481006,York,city,AL
-112.869074486317,32.3873039568114,Ajo,CDP,AZ
-112.087684656279,33.0283455214991,Ak-Chin Village,CDP,AZ
-111.547687614286,33.4050488050484,Apache Junction,city,AZ
-111.670498525764,32.7508632311392,Arizona City,CDP,AZ
-112.324756034416,33.4201146076444,Avondale,city,AZ
-111.315374786301,32.437926648022,Avra Valley,CDP,AZ
-113.174481241827,34.5779417182383,Bagdad,CDP,AZ
-110.30373573809,31.9622764427141,Benson,city,AZ
-111.76253612521,34.7801991748215,Big Park,CDP,AZ
-109.918108911347,31.4046633685193,Bisbee,city,AZ
-112.11008139994,34.0625176021453,Black Canyon City,CDP,AZ
-111.615953679464,33.0307216669076,Blackwater,CDP,AZ
-114.264903712463,34.1685510460639,Bluewater,CDP,AZ
-112.586250556443,33.4126800867857,Buckeye,town,AZ
-114.559387768349,35.1141871710232,Bullhead City,city,AZ
-110.110736651283,33.1306488232856,Bylas,CDP,AZ
-111.432557169541,35.8482457229053,Cameron,CDP,AZ
-111.856898904087,34.5696795158939,Camp Verde,town,AZ
-110.02683074448,33.78147138427,Canyon Day,CDP,AZ
-111.919142983387,33.8224618925691,Carefree,town,AZ
-111.736612032827,32.8923711206109,Casa Grande,city,AZ
-110.900868141103,32.4769236877614,Catalina,CDP,AZ
-111.965910501793,33.8262032156937,Cave Creek,town,AZ
-110.812831998687,33.4052381590535,Central Heights-Midland City,CDP,AZ
-111.867551293806,33.2950493842331,Chandler,city,AZ
-109.580689404801,36.1519158106026,Chinle,CDP,AZ
-112.455421373747,34.7632386159155,Chino Valley,town,AZ
-111.797906988195,32.744825481346,Chuichu,CDP,AZ
-110.482833064574,34.0295334123036,Cibecue,CDP,AZ
-112.057190251641,34.7596879663416,Clarkdale,town,AZ
-110.840781840083,33.4067419466676,Claypool,CDP,AZ
